ant_id,support_id,operateur,generation,bande_mhz,systeme,statut,ant_lat,ant_lon,commune,code_insee,dist_ligne_km
772325,2578104,SFR,4G,700,LTE 700,En service,45.81888888888889,3.4405555555555556,LE BUIS,63364,9.771207419157559
772326,2578104,SFR,4G,800,LTE 800,En service,45.81888888888889,3.4405555555555556,LE BUIS,63364,9.771207419157559
772327,2578104,SFR,3G,900,UMTS 900,En service,45.81888888888889,3.4405555555555556,LE BUIS,63364,9.771207419157559
775626,2637263,SFR,4G,700,LTE 700,En service,45.73916666666667,3.4433333333333334,LES CHARMES BLANCHES,63252,6.749918075698785
775627,2637263,SFR,4G,800,LTE 800,En service,45.73916666666667,3.4433333333333334,LES CHARMES BLANCHES,63252,6.749918075698785
775628,2637263,SFR,3G,900,UMTS 900,En service,45.73916666666667,3.4433333333333334,LES CHARMES BLANCHES,63252,6.749918075698785
776194,2645777,SFR,4G,700,LTE 700,En service,45.71027777777778,3.741388888888889,,63057,7.877219728122904
776195,2645777,SFR,4G,800,LTE 800,En service,45.71027777777778,3.741388888888889,,63057,7.877219728122904
776196,2645777,SFR,3G,900,UMTS 900,En service,45.71027777777778,3.741388888888889,,63057,7.877219728122904
776258,2647389,SFR,5G,2100,5G NR 2100,Techniquement opérationnel,45.840833333333336,3.5180555555555557,,63430,8.59263611594224
776259,2647389,SFR,5G,3500,5G NR 3500,Techniquement opérationnel,45.840833333333336,3.5180555555555557,,63430,8.59263611594224
776260,2647389,SFR,4G,1800,LTE 1800,En service,45.840833333333336,3.5180555555555557,,63430,8.59263611594224
776261,2647389,SFR,4G,2100,LTE 2100,En service,45.840833333333336,3.5180555555555557,,63430,8.59263611594224
776262,2647389,SFR,4G,2600,LTE 2600,En service,45.840833333333336,3.5180555555555557,,63430,8.59263611594224
776263,2647389,SFR,4G,700,LTE 700,En service,45.840833333333336,3.5180555555555557,,63430,8.59263611594224
776264,2647389,SFR,4G,800,LTE 800,En service,45.840833333333336,3.5180555555555557,,63430,8.59263611594224
776265,2647389,SFR,3G,900,UMTS 900,En service,45.840833333333336,3.5180555555555557,,63430,8.59263611594224
779177,2695996,SFR,4G,700,LTE 700,En service,45.588055555555556,3.7475,Aura,63161,1.6370706693484558
779178,2695996,SFR,4G,800,LTE 800,En service,45.588055555555556,3.7475,Aura,63161,1.6370706693484558
779179,2695996,SFR,3G,900,UMTS 900,En service,45.588055555555556,3.7475,Aura,63161,1.6370706693484558
779455,2700544,SFR,4G,700,LTE 700,En service,45.59777777777778,3.638611111111111,LA CROIX,63174,5.628422357172843
779456,2700544,SFR,4G,800,LTE 800,En service,45.59777777777778,3.638611111111111,LA CROIX,63174,5.628422357172843
779457,2700544,SFR,3G,900,UMTS 900,En service,45.59777777777778,3.638611111111111,LA CROIX,63174,5.628422357172843
781989,2746909,SFR,4G,700,LTE 700,En service,45.68277777777777,3.5319444444444446,CHEZ POULON,63136,2.7234405306418656
781990,2746909,SFR,4G,800,LTE 800,En service,45.68277777777777,3.5319444444444446,CHEZ POULON,63136,2.7234405306418656
781991,2746909,SFR,3G,900,UMTS 900,En service,45.68277777777777,3.5319444444444446,CHEZ POULON,63136,2.7234405306418656
789891,2875423,SFR,5G,2100,5G NR 2100,Techniquement opérationnel,45.51694444444444,3.6680555555555556,NOTRE DAME DE MONS,63081,5.956543454152822
789892,2875423,SFR,2G,900,GSM 900,En service,45.51694444444444,3.6680555555555556,NOTRE DAME DE MONS,63081,5.956543454152822
789893,2875423,SFR,4G,1800,LTE 1800,En service,45.51694444444444,3.6680555555555556,NOTRE DAME DE MONS,63081,5.956543454152822
789894,2875423,SFR,4G,2100,LTE 2100,En service,45.51694444444444,3.6680555555555556,NOTRE DAME DE MONS,63081,5.956543454152822
789895,2875423,SFR,4G,800,LTE 800,En service,45.51694444444444,3.6680555555555556,NOTRE DAME DE MONS,63081,5.956543454152822
789896,2875423,SFR,3G,900,UMTS 900,En service,45.51694444444444,3.6680555555555556,NOTRE DAME DE MONS,63081,5.956543454152822
797073,2952908,SFR,4G,700,LTE 700,En service,45.574444444444445,3.6933333333333334,Les Gladeaux,63431,2.608204301641349
797074,2952908,SFR,4G,800,LTE 800,En service,45.574444444444445,3.6933333333333334,Les Gladeaux,63431,2.608204301641349
797075,2952908,SFR,3G,900,UMTS 900,En service,45.574444444444445,3.6933333333333334,Les Gladeaux,63431,2.608204301641349
801824,3005067,SFR,4G,700,LTE 700,En service,45.534166666666664,3.796111111111111,Les Rochers,63374,4.824637494232341
801825,3005067,SFR,4G,800,LTE 800,En service,45.534166666666664,3.796111111111111,Les Rochers,63374,4.824637494232341
801826,3005067,SFR,3G,900,UMTS 900,En service,45.534166666666664,3.796111111111111,Les Rochers,63374,4.824637494232341
803753,3023581,SFR,4G,1800,LTE 1800,En service,45.61611111111111,3.715277777777778,Sur l'Horme,63037,0.3449222134187384
1859,345992,BOUYGUES TELECOM,4G,700,LTE 700,En service,45.513333333333335,3.6919444444444447,Tissonnière,63081,4.67832262539655
1860,345992,BOUYGUES TELECOM,4G,800,LTE 800,En service,45.513333333333335,3.6919444444444447,Tissonnière,63081,4.67832262539655
1861,345992,BOUYGUES TELECOM,3G,900,UMTS 900,En service,45.513333333333335,3.6919444444444447,Tissonnière,63081,4.67832262539655
1889,348090,BOUYGUES TELECOM,4G,700,LTE 700,En service,45.465833333333336,3.791111111111111,Le Suc du Tour,63371,9.56484254097003
1890,348090,BOUYGUES TELECOM,4G,800,LTE 800,En service,45.465833333333336,3.791111111111111,Le Suc du Tour,63371,9.56484254097003
1891,348090,BOUYGUES TELECOM,3G,900,UMTS 900,En service,45.465833333333336,3.791111111111111,Le Suc du Tour,63371,9.56484254097003
